product-name|price|bottles|link|inventory-count
Domaine La Florane Terre Pourpre Visan 2017|55|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-terre-pourpre-visan/w/1178252?ref=nav-search|6
Domaine La Florane Je Ne Souffre Plus Côtes-du-Rhône-Villages 2019|45|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-je-ne-souffre-plus-cotes-du-rhone-villages-cotes-de-rhone-villages-red-wine/w/6362148|6
Domaine La Florane À Fleur de Pampre 2020 Rosé|46|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-a-fleur-de-pampre-rose/w/5275374|6
Domaine La Florane À Fleur de Pampre 2020 Rouge|49|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-a-fleur-de-pampre-rouge/w/1179693|6
Domaine La Florane À Fleur de Pampre 2020 Blanc|49|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-a-fleur-de-pampre-blanc/w/5275345|6
Domaine La Florane Echevin Guillaume de Rouville Blanc Côtes-du-Rhône-Villages Saint-Maurice 2020 Blanc|59|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-echevin-guillaume-de-rouville-blanc-cotes-du-rhone-villages-saint-maurice/w/7716186|6
Domaine La Florane Echevin 2020 Rouge|55|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-echevin-cotes-du-rhone-villages-saint-maurice/w/8440708|6
Domaine La Florane Echevin Guillaume de Rouville 2020 Rouge|59|1 x 750 ml|https://www.vivino.com/SG/en/domaine-la-florane-echevin-guillaume-de-rouville-rouge/w/7711896|6
Bertrand Stehelin Cháteauneuf du Pape 2016|87|1 x 750 ml|https://www.vivino.com/SG/en/bertrand-stehelin-cuvee-chateauneuf-du-pape/w/1691616|6
Bertrand Stehelin Gigondas 2017|65|1 x 750 ml|https://www.vivino.com/SG/en/bertrand-stehelin-gigondas/w/1204948|6
Bertrand Stehelin Côtes-du-Rhône-Villages Sablet 2017 Blanc|52|1 x 750 ml|https://www.vivino.com/SG/en/bertrand-stehelin-cotes-du-rhone-villages-sablet-blanc/w/1486797|6
Bertrand Stehelin Côtes-du-Rhône-Villages Sablet 2017 Rouge|52|1 x 750 ml|https://www.vivino.com/SG/en/bertrand-stehelin-cotes-du-rhone-villages-sablet-rouge/w/1845570|6
Bertrand Stehelin Domaine Paillere & Pied-Gû Gigondas 2015|69|1 x 750 ml|https://www.vivino.com/SG/en/bertrand-stehelin-domaine-pallere-pied-gu-gigondas/w/1178037|6
Bertrand Stehelin La Syrah de Pénélope Gigondas 2018|95|1 x 750 ml|https://www.vivino.com/SG/en/bertrand-stehelin-la-syrah-de-penelope-gigondas/w/2186192|6
Château Saint-Roch Lirac 2018 Rouge|48|1 x 750 ml|https://www.vivino.com/SG/en/chateau-saint-roch-cotes-du-rhone-lirac/w/1172293|6
Château Saint-Roch Palmes Lirac 2019|57|1 x 750 ml|https://www.vivino.com/SG/en/chateau-saint-roch-cotes-du-rhone-palmes-lirac/w/5037799|6
Château Saint-Roch Lirac 2019Rosé|44|1 x 750 ml|https://www.vivino.com/SG/en/chateau-saint-roch-cotes-du-rhone-lirac-rose/w/5037819|6
Château Saint-Roch Lirac Blanc (Tradition) 2019|48|1 x 750 ml|https://www.vivino.com/SG/en/chateau-saint-roch-cotes-du-rhone-lirac-blanc-tradition/w/1163001|6
Château Saint-Roch Châteauneuf du Pape 2019|85|1 x 750 ml|https://www.vivino.com/SG/en/chateau-saint-roch-cotes-du-rhone-chateauneuf-du-pape/w/1207412|6
Seguin-Manuel Vieilles Vignes Pouilly-Fuissé 2019|79|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-vieilles-vignes-pouilly-fuisse/w/1577193|6
Seguin-Manuel Goudelettes Savigny-lès-Beaune 2018|89|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-goudelettes-savigny-les-beaune/w/1253534|6
Seguin-Manuel Clos des Mouches Beaune 1er Cru2018|149|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-clos-des-mouches-beaune-1er-cru/w/1481336|6
Seguin-Manuel Vieilles Vignes Mercurey Rouge 2019|75|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-vieilles-vignes-mercurey-rouge/w/2420458|6
Seguin-Manuel Champimonts Beaune 1er Cru 2017|108|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-champimonts-beaune-1er-cru/w/1203317|6
Seguin-Manuel Petits Noizons Pommard 2018|110|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-petits-noizons-pommard/w/4628549|6
Seguin-Manuel Vieilles Vignes Gevrey-Chambertin 2018|120|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-vieilles-vignes-gevrey-chambertin/w/82549|6
Seguin-Manuel Aux Communes Vosne-Romanée 2016|129|1 x 750 ml|https://www.vivino.com/SG/en/seguin-manuel-aux-communes-vosne-romanee/w/4628552|6
